A1,screen1,A,1,A1,1,NULL,12.5
A2,screen1,A,2,A2,1,NULL,12.5
A3,screen1,A,3,A3,1,NULL,12.5
A4,screen1,A,4,A4,1,NULL,12.5
A5,screen1,A,5,A5,1,NULL,12.5
A6,screen1,A,6,A6,1,NULL,12.5
A7,screen1,A,7,A7,1,NULL,12.5
A8,screen1,A,8,A8,1,NULL,12.5
A9,screen1,A,9,A9,1,NULL,12.5
A10,screen1,A,10,A10,1,NULL,12.5
A11,screen1,A,11,A11,1,NULL,12.5
A12,screen1,A,12,A12,1,NULL,12.5
A13,screen1,A,13,A13,1,NULL,12.5
A14,screen1,A,14,A14,1,NULL,12.5
A15,screen1,A,15,A15,1,NULL,12.5
A16,screen1,A,16,A16,1,NULL,12.5
A17,screen1,A,17,A17,1,NULL,12.5
A18,screen1,A,18,A18,1,NULL,12.5
A19,screen1,A,19,A19,1,NULL,12.5
A20,screen1,A,20,A20,1,NULL,12.5
B1,screen1,B,1,B1,1,NULL,12.5
B2,screen1,B,2,B2,1,NULL,12.5
B3,screen1,B,3,B3,1,NULL,12.5
B4,screen1,B,4,B4,1,NULL,12.5
B5,screen1,B,5,B5,1,NULL,12.5
B6,screen1,B,6,B6,1,NULL,12.5
B7,screen1,B,7,B7,1,NULL,12.5
B8,screen1,B,8,B8,1,NULL,12.5
B9,screen1,B,9,B9,1,NULL,12.5
B10,screen1,B,10,B10,1,NULL,12.5
B11,screen1,B,11,B11,1,NULL,12.5
B12,screen1,B,12,B12,1,NULL,12.5
B13,screen1,B,13,B13,1,NULL,12.5
B14,screen1,B,14,B14,1,NULL,12.5
B15,screen1,B,15,B15,1,NULL,12.5
B16,screen1,B,16,B16,1,NULL,12.5
B17,screen1,B,17,B17,1,NULL,12.5
B18,screen1,B,18,B18,1,NULL,12.5
B19,screen1,B,19,B19,1,NULL,12.5
B20,screen1,B,20,B20,1,NULL,12.5
C1,screen1,C,1,C1,1,NULL,12.5
C2,screen1,C,2,C2,1,NULL,12.5
C3,screen1,C,3,C3,1,NULL,12.5
C4,screen1,C,4,C4,1,NULL,12.5
C5,screen1,C,5,C5,1,NULL,12.5
C6,screen1,C,6,C6,1,NULL,12.5
C7,screen1,C,7,C7,1,NULL,12.5
C8,screen1,C,8,C8,1,NULL,12.5
C9,screen1,C,9,C9,1,NULL,12.5
C10,screen1,C,10,C10,1,NULL,12.5
C11,screen1,C,11,C11,1,NULL,12.5
C12,screen1,C,12,C12,1,NULL,12.5
C13,screen1,C,13,C13,1,NULL,12.5
C14,screen1,C,14,C14,1,NULL,12.5
C15,screen1,C,15,C15,1,NULL,12.5
C16,screen1,C,16,C16,1,NULL,12.5
C17,screen1,C,17,C17,1,NULL,12.5
C18,screen1,C,18,C18,1,NULL,12.5
C19,screen1,C,19,C19,1,NULL,12.5
C20,screen1,C,20,C20,1,NULL,12.5
D1,screen1,D,1,D1,1,NULL,12.5
D2,screen1,D,2,D2,1,NULL,12.5
D3,screen1,D,3,D3,1,NULL,12.5
D4,screen1,D,4,D4,1,NULL,12.5
D5,screen1,D,5,D5,1,NULL,12.5
D6,screen1,D,6,D6,1,NULL,12.5
D7,screen1,D,7,D7,1,NULL,12.5
D8,screen1,D,8,D8,1,NULL,12.5
D9,screen1,D,9,D9,1,NULL,12.5
D10,screen1,D,10,D10,1,NULL,12.5
D11,screen1,D,11,D11,1,NULL,12.5
D12,screen1,D,12,D12,1,NULL,12.5
D13,screen1,D,13,D13,1,NULL,12.5
D14,screen1,D,14,D14,1,NULL,12.5
D15,screen1,D,15,D15,1,NULL,12.5
D16,screen1,D,16,D16,1,NULL,12.5
D17,screen1,D,17,D17,1,NULL,12.5
D18,screen1,D,18,D18,1,NULL,12.5
D19,screen1,D,19,D19,1,NULL,12.5
D20,screen1,D,20,D20,1,NULL,12.5
E1,screen1,E,1,E1,1,NULL,12.5
E2,screen1,E,2,E2,1,NULL,12.5
E3,screen1,E,3,E3,1,NULL,12.5
E4,screen1,E,4,E4,1,NULL,12.5
E5,screen1,E,5,E5,1,NULL,12.5
E6,screen1,E,6,E6,1,NULL,12.5
E7,screen1,E,7,E7,1,NULL,12.5
E8,screen1,E,8,E8,1,NULL,12.5
E9,screen1,E,9,E9,1,NULL,12.5
E10,screen1,E,10,E10,1,NULL,12.5
E11,screen1,E,11,E11,1,NULL,12.5
E12,screen1,E,12,E12,1,NULL,12.5
E13,screen1,E,13,E13,1,NULL,12.5
E14,screen1,E,14,E14,1,NULL,12.5
E15,screen1,E,15,E15,1,NULL,12.5
E16,screen1,E,16,E16,1,NULL,12.5
E17,screen1,E,17,E17,1,NULL,12.5
E18,screen1,E,18,E18,1,NULL,12.5
E19,screen1,E,19,E19,1,NULL,12.5
E20,screen1,E,20,E20,1,NULL,12.5
